2025-05-01 11:30:42, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:32:08, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:10, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:32:12, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:32:14, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:16, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:32:18, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:32:20, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:32:22, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:32:24, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:32:26, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:32:28, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:32:30, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:32, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:32:34, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:32:36, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:32:38, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:32:40, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:42, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:32:44, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:32:46, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:32:48, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:32:50, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:32:52, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:32:54, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:56, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:32:58, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:33:00, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:33:02, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:33:04, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:33:06, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:33:08, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:33:10, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:33:12, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:33:14, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:33:16, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:33:18, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:33:20, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:33:22, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:33:24, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:33:26, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:33:28, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:33:30, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:33:32, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:33:34, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:33:36, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:33:38, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:33:40, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:33:42, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:33:44, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:33:46, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:33:48, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:33:50, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:33:52, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:33:54, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:33:56, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:33:58, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:34:00, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:34:02, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:34:04, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:06, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:34:08, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:10, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:34:12, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:14, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:16, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:34:18, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:34:20, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:34:22, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:34:24, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:34:26, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:28, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:34:30, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:34:32, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:34:34, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:34:36, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:34:38, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:34:40, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:34:42, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:34:44, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:34:46, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:34:48, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:50, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:34:52, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:34:54, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:34:56, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:34:58, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:35:00, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:35:02, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:35:04, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:35:06, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:35:08, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:35:10, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:35:12, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:35:14, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:35:16, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:35:18, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:35:20, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:35:22, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:35:24, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:35:26, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:35:28, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:35:30, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:35:32, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:35:34, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:35:36, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:35:38, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:35:40, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:35:42, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:35:44, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:35:46, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:35:48, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:35:50, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:35:52, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:35:54, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:35:56, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:35:58, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:36:00, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:36:02, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:36:04, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:36:06, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:36:08, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:36:10, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:36:12, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:36:14, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:36:16, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:36:18, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:36:20, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:36:22, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:36:24, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:36:26, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:36:28, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:36:30, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:36:32, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:36:34, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:36:36, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:36:38, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:36:40, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:36:42, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:36:44, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:36:46, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:36:48, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:36:50, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:36:52, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:36:54, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:36:56, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:36:58, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:37:00, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:37:02, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:37:04, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:37:06, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:37:08, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:37:10, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:37:12, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:37:14, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:37:16, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:37:18, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:37:20, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:37:22, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:37:24, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:37:26, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:37:28, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:37:30, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:37:32, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:37:34, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:37:36, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:37:38, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:37:40, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:37:42, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:37:44, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:37:46, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:37:48, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:37:50, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:37:52, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:37:54, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:37:56, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:37:58, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:38:00, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:38:02, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:38:04, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:38:06, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:38:08, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:38:10, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:38:12, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:38:14, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:38:16, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:38:18, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:38:20, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:38:22, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:38:24, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:38:26, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:38:28, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:38:30, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:38:32, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:38:34, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:38:36, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:38:38, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:38:40, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:38:42, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:38:44, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:38:46, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:38:48, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:38:50, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:38:52, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:38:54, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:38:56, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:38:58, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:39:00, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:39:02, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:39:04, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:39:06, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:39:08, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:39:10, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:39:12, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:39:14, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:39:16, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:39:18, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:39:20, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:39:22, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:39:24, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:39:26, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:39:28, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:39:30, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:39:32, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:39:34, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:39:36, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:39:38, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:39:40, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:39:42, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:39:44, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:39:46, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:39:48, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:39:50, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:39:52, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:39:54, 10.0.0.10, 192.168.1.11, 80, TCP
2025-05-01 11:39:56, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:39:58, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:40:00, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:40:02, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:40:04, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:40:06, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:40:08, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:40:10, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:40:12, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:40:14, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:40:16, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:40:18, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:40:20, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:40:22, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:40:24, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:40:26, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:40:28, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:40:30, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:40:32, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:40:34, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:40:36, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:40:38, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:40:40, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:40:42, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:40:44, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:40:46, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:40:48, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:40:50, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:40:52, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:40:54, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:40:56, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:40:58, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:41:00, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:41:02, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:41:04, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:41:06, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:41:08, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:41:10, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:41:12, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:41:14, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:41:16, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:41:18, 10.0.0.10, 192.168.1.11, 443, UDP
2025-05-01 11:41:20, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:41:22, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:41:24, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:41:26, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:41:28, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:41:30, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:41:32, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:41:34, 10.0.0.10, 192.168.1.10, 80, UDP
2025-05-01 11:41:36, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:41:38, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:41:40, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:41:42, 10.0.0.10, 192.168.1.10, 80, TCP
2025-05-01 11:41:44, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:41:46, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:41:48, 10.0.0.10, 192.168.1.12, 22, TCP
2025-05-01 11:41:50, 10.0.0.10, 192.168.1.12, 80, UDP
2025-05-01 11:41:52, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:41:54, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:41:56, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:41:58, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:42:00, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:42:02, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:42:04, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:42:06, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:42:08, 10.0.0.10, 192.168.1.10, 22, TCP
2025-05-01 11:42:10, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:42:12, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:42:14, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:42:16, 10.0.0.10, 192.168.1.12, 443, UDP
2025-05-01 11:42:18, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:42:20, 10.0.0.10, 192.168.1.10, 443, UDP
2025-05-01 11:42:22, 10.0.0.10, 192.168.1.12, 22, UDP
2025-05-01 11:42:24, 10.0.0.10, 192.168.1.12, 443, TCP
2025-05-01 11:42:26, 10.0.0.10, 192.168.1.11, 443, TCP
2025-05-01 11:42:28, 10.0.0.10, 192.168.1.12, 80, TCP
2025-05-01 11:42:30, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:42:32, 10.0.0.10, 192.168.1.10, 443, TCP
2025-05-01 11:42:34, 10.0.0.10, 192.168.1.11, 80, UDP
2025-05-01 11:42:36, 10.0.0.10, 192.168.1.11, 22, UDP
2025-05-01 11:42:38, 10.0.0.10, 192.168.1.11, 22, TCP
2025-05-01 11:42:40, 10.0.0.10, 192.168.1.10, 22, UDP
2025-05-01 11:30:42, 10.0.0.83, 192.168.1.200, 22, TCP
2025-05-01 11:30:44, 10.0.0.208, 192.168.1.200, 80, TCP
2025-05-01 11:30:46, 10.0.0.223, 192.168.1.200, 443, TCP
2025-05-01 11:30:48, 10.0.0.161, 192.168.1.200, 22, UDP
2025-05-01 11:30:50, 10.0.0.173, 192.168.1.200, 443, TCP
2025-05-01 11:30:52, 10.0.0.224, 192.168.1.200, 80, UDP
2025-05-01 11:30:54, 10.0.0.54, 192.168.1.200, 80, UDP
